model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,model_alpha,weight_eps,weight_std
94_model,320.39541621498677,725.9123661124913,22548.31030617643,4651484.616801192,218.9468589646692,0.0,779216.3636247768,hydrogen_bromine_ode.csv,hydrogen_bromine,99.94844112826969,4.995812711851579e-06,0.0001
176_model,0.017725116064915683,0.22134446254211929,0.40698056712024017,4.090679676203049,0.002008890234533424,0.0,0.7897897853608096,hydrogen_bromine_ode.csv,hydrogen_bromine,8.575795876872198e-05,9.440619113735458e-07,0.01
44_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1.035332122467128e-06,6.461810446057677e-06,1e-06
101_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,7.986077504186377e-06,1.225378847302896e-07,0.0001
117_model,333.3404683118134,622.2132819388764,29080.223022700116,4887698.587304581,258.6826522502639,0.0,819665.5077882969,hydrogen_bromine_ode.csv,hydrogen_bromine,927.8933539638202,0.055548591807154254,0.0001
118_model,323.5587762659624,550.0648934090809,22029.340273155824,4603800.381770818,218.8685901077634,0.0,771153.7023839593,hydrogen_bromine_ode.csv,hydrogen_bromine,6002.28238334061,0.00022303628790345937,0.0001
86_model,0.021290802456855433,0.23643874807096904,0.39513825339017844,4.036587902544059,0.001999561420886851,0.0,0.7819092113138248,hydrogen_bromine_ode.csv,hydrogen_bromine,8.575795876872198e-05,9.440619113735458e-07,1e-05
142_model,322.8126731102699,548.0605056751767,21892.3673977134,4580007.1556405015,219.66891532557332,0.0,767165.0108553878,hydrogen_bromine_ode.csv,hydrogen_bromine,795261.8231250104,0.01586752352583566,0.001
172_model,322.81134223170125,548.0001787775625,21892.221949190076,4579906.249854324,219.66716818516693,0.0,767148.1584154515,hydrogen_bromine_ode.csv,hydrogen_bromine,795261.8231250104,0.01586752352583566,0.01
28_model,323.5584935193116,550.0652269784447,22029.31775655072,4603786.950096962,218.86851401613765,0.0,771151.4600146711,hydrogen_bromine_ode.csv,hydrogen_bromine,6002.28238334061,0.00022303628790345937,0.0
76_model,323.0733444375129,556.5183835853426,22799.614856702414,4561746.65911152,225.59156244285919,0.0,764275.2428764481,hydrogen_bromine_ode.csv,hydrogen_bromine,19.922733052162783,4.4449784710683543e-07,1e-05
107_model,322.8050029029612,548.0329765427241,21889.31578093783,4579726.132138867,219.6528792201463,0.0,767117.6564630786,hydrogen_bromine_ode.csv,hydrogen_bromine,147895.6008985279,1.7210347976595495e-05,0.0001
27_model,333.34094170389955,622.2215157268074,29080.949501517454,4887734.624345968,258.68766372132654,0.0,819671.6373281061,hydrogen_bromine_ode.csv,hydrogen_bromine,927.8933539638202,0.055548591807154254,0.0
11_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,7.986077504186377e-06,1.225378847302896e-07,0.0
53_model,323.2221262582743,549.4692393869274,21980.699571282792,4607816.300393403,221.0322084729096,0.0,771815.1205898005,hydrogen_bromine_ode.csv,hydrogen_bromine,47963.634378534756,0.0020148991027690694,1e-06
35_model,0.04936264945382931,0.7008518291773956,1.3135124451960785,11.386261703580546,0.004779848075800622,0.0,2.2424614125806084,hydrogen_bromine_ode.csv,hydrogen_bromine,0.009808669434503627,0.0039522808482593125,1e-06
5_model,0.049397671704125026,0.7010264724238664,1.316309464058273,11.410012598888768,0.004770214109753206,0.0,2.2469194035307978,hydrogen_bromine_ode.csv,hydrogen_bromine,0.009808669434503627,0.0039522808482593125,0.0
154_model,324.55771186934487,555.8355356510793,22542.252388020286,4651133.132817697,219.01216728936785,0.0,779129.1317700878,hydrogen_bromine_ode.csv,hydrogen_bromine,99.94844112826969,4.995812711851579e-06,0.01
67_model,0.009696413194483097,0.0012662048838420073,0.0004397583227945204,27.768958410976257,0.00035323002453157735,0.0,4.630119002900318,hydrogen_bromine_ode.csv,hydrogen_bromine,2.8317284209433966e-06,3.301703102308238e-06,1e-05
